datetime,high,low,open,close,volume
1675519200000.00 ,1684.66,1671.81,1684.23,1681.42,20746.98
1675522800000.00 ,1681.68,1675.45,1681.42,1679.97,9342.34
1675526400000.00 ,1685.46,1672.32,1679.97,1680.5,13619.57
1675530000000.00 ,1684.74,1676.67,1680.51,1681.36,11913.61
1675533600000.00 ,1682.92,1672.66,1681.36,1678.92,11143.76
1675537200000.00 ,1679.48,1674.57,1678.91,1675.93,5022.52
1675540800000.00 ,1684.01,1673.78,1675.92,1679,14360.89
1675544400000.00 ,1680.2,1674.62,1679,1680.05,6032.44
1675548000000.00 ,1689,1677.48,1680.06,1680,10438.59
1675551600000.00 ,1683.36,1658.53,1680,1666.38,23409.42
1675555200000.00 ,1671,1657.49,1666.39,1663.47,19117.05
1675558800000.00 ,1667.39,1660.55,1663.47,1665.48,8897.94
1675562400000.00 ,1668.78,1661,1665.48,1661.01,9242.5
1675566000000.00 ,1663.51,1656.68,1661.01,1660.7,16613.11
1675569600000.00 ,1666.13,1659.35,1660.69,1664.17,8899.83
1675573200000.00 ,1667.17,1663.66,1664.17,1666.96,6400.78
1675576800000.00 ,1671.2,1663.82,1666.97,1668.01,10035.29
1675580400000.00 ,1669.17,1665.2,1668.01,1668.14,5461.67
1675584000000.00 ,1673.81,1666,1668.15,1669.96,8217.78
1675587600000.00 ,1672.51,1665.18,1669.96,1665.75,9920.85
1675591200000.00 ,1670.44,1665.53,1665.74,1668.96,6624.15
1675594800000.00 ,1668.96,1660.86,1668.96,1662.6,10261.44
1675598400000.00 ,1664.58,1635.93,1662.6,1648.2,50781.58
1675602000000.00 ,1652.33,1640.69,1648.19,1648.25,30105.28
1675605600000.00 ,1655.34,1644.9,1648.24,1651.95,14649.51
1675609200000.00 ,1657.24,1640.55,1651.96,1644.18,23049.55
1675612800000.00 ,1647.45,1636.81,1644.18,1639.09,22444.47
1675616400000.00 ,1642,1615.46,1639.08,1618.14,62449.17
1675620000000.00 ,1624.52,1612.67,1618.13,1615.69,22264.63
1675623600000.00 ,1622.1,1609.3,1615.69,1619.48,17751.25
1675627200000.00 ,1623.18,1614.56,1619.48,1619.11,9620.65
