datetime,high,low,open,close,volume
2023-03-01 00:01:00,1643.54,1641.39,1641.52,1642.50,8477.002
2023-03-01 00:02:00,1642.85,1642.12,1642.49,1642.65,3117.771
2023-03-01 00:03:00,1643.00,1641.83,1642.65,1642.99,3016.354
2023-03-01 00:04:00,1643.42,1642.17,1642.99,1642.85,3543.612
2023-03-01 00:05:00,1644.63,1642.85,1642.85,1644.33,5408.074
2023-03-01 00:06:00,1645.16,1644.07,1644.34,1645.06,5651.008
2023-03-01 00:07:00,1645.80,1644.28,1645.06,1645.20,5019.615
2023-03-01 00:08:00,1645.21,1643.74,1645.21,1644.09,3128.462
2023-03-01 00:09:00,1644.13,1642.72,1644.08,1642.87,3273.828
2023-03-01 00:10:00,1643.09,1640.16,1642.87,1642.45,13420.561
2023-03-01 00:11:00,1642.62,1641.33,1642.46,1641.56,3113.382
2023-03-01 00:12:00,1642.00,1641.14,1641.57,1641.69,3168.247
2023-03-01 00:13:00,1641.70,1640.39,1641.70,1640.88,4330.222
2023-03-01 00:14:00,1641.25,1640.28,1640.88,1640.57,3071.913
2023-03-01 00:15:00,1641.15,1640.15,1640.57,1641.01,3486.009
2023-03-01 00:16:00,1641.83,1640.14,1641.01,1640.15,2649.124
2023-03-01 00:17:00,1640.50,1640.10,1640.14,1640.10,1660.784
2023-03-01 00:18:00,1640.56,1639.59,1640.10,1639.59,2286.414
2023-03-01 00:19:00,1640.24,1639.33,1639.60,1639.80,3184.093
2023-03-01 00:20:00,1641.98,1639.55,1639.81,1641.28,2510.167
2023-03-01 00:21:00,1642.00,1641.07,1641.27,1641.95,1821.340
2023-03-01 00:22:00,1642.30,1641.29,1641.95,1641.35,1518.982
2023-03-01 00:23:00,1641.36,1639.47,1641.35,1639.47,2523.031
2023-03-01 00:24:00,1640.04,1638.67,1639.47,1640.04,3395.073
2023-03-01 00:25:00,1640.61,1638.98,1640.06,1640.60,2196.690
2023-03-01 00:26:00,1641.00,1640.40,1640.60,1641.00,2088.194
2023-03-01 00:27:00,1641.68,1640.89,1640.99,1641.30,1564.964
2023-03-01 00:28:00,1642.13,1641.30,1641.31,1641.82,1823.393
2023-03-01 00:29:00,1641.96,1640.61,1641.81,1640.78,1576.554
2023-03-01 00:30:00,1641.58,1640.63,1640.78,1640.96,2174.670
2023-03-01 00:31:00,1641.22,1640.04,1640.95,1640.04,1287.139
2023-03-01 00:32:00,1640.05,1638.17,1640.04,1638.74,5235.835
2023-03-01 00:33:00,1638.75,1637.20,1638.74,1638.21,5745.490
2023-03-01 00:34:00,1638.22,1637.62,1638.22,1637.66,2976.594
2023-03-01 00:35:00,1638.16,1637.12,1637.62,1637.56,1875.311
2023-03-01 00:36:00,1638.12,1637.24,1637.52,1637.24,1420.441
2023-03-01 00:37:00,1638.66,1637.00,1637.25,1638.66,2290.193
2023-03-01 00:38:00,1639.65,1637.79,1638.66,1637.80,1482.677
2023-03-01 00:39:00,1637.98,1637.68,1637.79,1637.83,1117.417
2023-03-01 00:40:00,1637.82,1636.93,1637.82,1637.00,1914.323
2023-03-01 00:41:00,1637.00,1636.60,1637.00,1636.90,1489.076
2023-03-01 00:42:00,1637.68,1636.30,1636.90,1636.64,1533.041
2023-03-01 00:43:00,1637.53,1636.63,1636.64,1636.81,1452.111
2023-03-01 00:44:00,1636.79,1636.03,1636.76,1636.03,1563.540
2023-03-01 00:45:00,1636.46,1635.80,1636.03,1635.92,2616.935
2023-03-01 00:46:00,1635.92,1634.58,1635.92,1635.26,6776.856
2023-03-01 00:47:00,1635.26,1634.21,1635.25,1634.88,3864.677
2023-03-01 00:48:00,1635.10,1634.79,1634.87,1635.00,1588.496
2023-03-01 00:49:00,1635.61,1634.99,1634.99,1635.33,2799.677
2023-03-01 00:50:00,1635.33,1633.15,1635.32,1634.00,3699.129
2023-03-01 00:51:00,1634.42,1633.68,1634.00,1633.69,1640.980
2023-03-01 00:52:00,1634.89,1633.68,1633.68,1634.20,3024.811
2023-03-01 00:53:00,1636.18,1633.71,1634.21,1635.99,6619.951
2023-03-01 00:54:00,1637.39,1635.36,1635.99,1636.03,4481.823
2023-03-01 00:55:00,1636.22,1635.39,1636.03,1636.22,1206.075
2023-03-01 00:56:00,1636.32,1634.33,1636.23,1634.42,1875.003
2023-03-01 00:57:00,1634.59,1633.22,1634.42,1634.42,2715.311
2023-03-01 00:58:00,1634.76,1633.78,1634.42,1634.32,1375.074
2023-03-01 00:59:00,1635.22,1634.17,1634.32,1634.77,1288.325
2023-03-01 01:00:00,1634.88,1634.41,1634.76,1634.50,1708.592
2023-03-01 01:01:00,1635.33,1634.42,1634.50,1634.91,2052.709
2023-03-01 01:02:00,1636.19,1634.44,1634.91,1635.91,3443.289
2023-03-01 01:03:00,1635.91,1634.44,1635.91,1634.45,1239.725
2023-03-01 01:04:00,1635.81,1634.44,1634.44,1634.75,2124.359
2023-03-01 01:05:00,1635.13,1634.57,1634.75,1634.67,1300.692
2023-03-01 01:06:00,1635.77,1634.67,1634.68,1634.69,1024.604
2023-03-01 01:07:00,1635.28,1634.40,1634.69,1635.19,818.803
2023-03-01 01:08:00,1635.65,1635.18,1635.19,1635.64,494.597
2023-03-01 01:09:00,1636.36,1635.30,1635.65,1636.35,1266.583
2023-03-01 01:10:00,1637.25,1636.35,1636.36,1636.75,1418.244
2023-03-01 01:11:00,1637.00,1636.19,1636.75,1636.76,1481.369
2023-03-01 01:12:00,1637.23,1636.75,1636.76,1637.02,2128.149
2023-03-01 01:13:00,1637.62,1637.01,1637.02,1637.55,2010.742
2023-03-01 01:14:00,1637.56,1636.93,1637.55,1637.39,1155.937
2023-03-01 01:15:00,1637.69,1637.40,1637.40,1637.60,889.151
2023-03-01 01:16:00,1637.99,1637.07,1637.59,1637.19,1436.704
2023-03-01 01:17:00,1637.20,1636.20,1637.20,1636.40,1032.984
2023-03-01 01:18:00,1637.19,1636.20,1636.40,1636.93,907.357
2023-03-01 01:19:00,1637.21,1636.80,1636.93,1637.16,686.039
2023-03-01 01:20:00,1637.53,1637.09,1637.15,1637.44,526.025
2023-03-01 01:21:00,1639.03,1637.45,1637.45,1639.02,3719.709
2023-03-01 01:22:00,1641.55,1639.03,1639.03,1640.47,13111.573
2023-03-01 01:23:00,1641.34,1639.45,1640.47,1639.45,3343.218
2023-03-01 01:24:00,1640.00,1639.42,1639.45,1640.00,922.222
2023-03-01 01:25:00,1642.50,1639.99,1639.99,1642.42,2779.703
2023-03-01 01:26:00,1642.88,1641.28,1642.42,1641.29,2943.605
2023-03-01 01:27:00,1641.72,1640.35,1641.29,1640.82,4821.790
2023-03-01 01:28:00,1641.66,1640.57,1640.83,1641.04,1090.611
2023-03-01 01:29:00,1641.37,1640.16,1641.04,1640.38,2621.053
2023-03-01 01:30:00,1640.83,1639.14,1640.39,1639.99,1926.817
2023-03-01 01:31:00,1640.18,1639.62,1639.98,1639.62,1128.017
2023-03-01 01:32:00,1641.00,1639.62,1639.62,1640.16,1287.004
2023-03-01 01:33:00,1640.24,1639.60,1640.17,1639.68,639.869
2023-03-01 01:34:00,1639.80,1638.97,1639.67,1639.36,1672.552
2023-03-01 01:35:00,1640.16,1639.36,1639.36,1639.47,733.480
2023-03-01 01:36:00,1640.22,1639.07,1639.48,1639.08,1276.126
2023-03-01 01:37:00,1639.31,1638.63,1639.07,1639.30,1264.691
2023-03-01 01:38:00,1640.49,1639.08,1639.30,1639.41,1524.971
2023-03-01 01:39:00,1640.67,1639.40,1639.40,1639.82,1028.157
2023-03-01 01:40:00,1640.36,1639.59,1639.82,1639.60,1561.286
2023-03-01 01:41:00,1639.77,1639.00,1639.61,1639.67,920.362
2023-03-01 01:42:00,1639.96,1639.33,1639.67,1639.96,953.579
2023-03-01 01:43:00,1640.60,1639.96,1639.96,1640.34,859.836
2023-03-01 01:44:00,1640.51,1640.26,1640.34,1640.27,634.843
2023-03-01 01:45:00,1640.53,1639.86,1640.27,1640.36,964.442
2023-03-01 01:46:00,1640.71,1640.17,1640.36,1640.18,581.039
2023-03-01 01:47:00,1641.25,1640.18,1640.19,1640.98,2198.557
2023-03-01 01:48:00,1642.28,1640.63,1640.98,1641.88,1319.309
2023-03-01 01:49:00,1642.50,1641.84,1641.88,1641.96,1902.994
2023-03-01 01:50:00,1642.37,1641.61,1641.95,1642.37,1887.649
2023-03-01 01:51:00,1642.87,1641.86,1642.37,1642.76,1990.899
2023-03-01 01:52:00,1643.25,1642.39,1642.77,1643.25,2628.437
2023-03-01 01:53:00,1643.96,1643.24,1643.24,1643.65,2483.507
2023-03-01 01:54:00,1643.88,1643.05,1643.64,1643.35,1939.639
2023-03-01 01:55:00,1643.86,1642.71,1643.35,1642.89,1838.170
2023-03-01 01:56:00,1643.02,1642.75,1642.90,1642.85,986.606
2023-03-01 01:57:00,1643.75,1642.85,1642.86,1643.75,589.200
2023-03-01 01:58:00,1643.75,1642.78,1643.75,1642.79,3049.228
2023-03-01 01:59:00,1643.37,1642.78,1642.78,1642.82,1546.713
2023-03-01 02:00:00,1643.49,1642.81,1642.81,1643.28,1285.681
2023-03-01 02:01:00,1643.50,1642.82,1643.29,1642.92,937.104
2023-03-01 02:02:00,1643.00,1642.42,1642.91,1642.99,1683.880
2023-03-01 02:03:00,1643.65,1642.63,1643.00,1643.65,876.221
2023-03-01 02:04:00,1644.19,1643.50,1643.64,1644.11,2412.245
2023-03-01 02:05:00,1644.49,1644.10,1644.11,1644.33,1659.153
2023-03-01 02:06:00,1645.35,1644.32,1644.33,1644.56,3708.250
2023-03-01 02:07:00,1645.39,1644.13,1644.56,1644.75,1367.513
2023-03-01 02:08:00,1645.17,1644.20,1644.75,1644.25,1064.688
2023-03-01 02:09:00,1644.41,1643.00,1644.25,1643.00,1564.605
2023-03-01 02:10:00,1643.21,1642.32,1643.01,1642.32,1663.211
2023-03-01 02:11:00,1643.96,1642.32,1642.32,1642.81,1647.599
2023-03-01 02:12:00,1643.41,1642.81,1642.82,1642.82,879.582
2023-03-01 02:13:00,1643.16,1642.62,1642.82,1642.88,700.377
2023-03-01 02:14:00,1643.16,1642.41,1642.84,1642.41,925.060
2023-03-01 02:15:00,1642.41,1641.71,1642.41,1641.71,2795.112
2023-03-01 02:16:00,1641.80,1640.25,1641.72,1640.57,2702.551
2023-03-01 02:17:00,1640.58,1639.09,1640.58,1640.00,4116.272
2023-03-01 02:18:00,1640.00,1638.10,1639.99,1638.10,3499.219
2023-03-01 02:19:00,1639.30,1637.56,1638.10,1638.89,3590.236
2023-03-01 02:20:00,1639.63,1638.08,1638.90,1639.50,3439.447
2023-03-01 02:21:00,1639.66,1638.84,1639.50,1639.33,1733.123
2023-03-01 02:22:00,1640.09,1639.32,1639.33,1640.08,1965.509
2023-03-01 02:23:00,1640.58,1639.87,1640.09,1640.57,2212.749
2023-03-01 02:24:00,1642.48,1640.57,1640.58,1642.48,3433.716
2023-03-01 02:25:00,1642.48,1641.38,1642.48,1641.63,1742.611
2023-03-01 02:26:00,1642.09,1641.14,1641.61,1642.01,808.471
2023-03-01 02:27:00,1642.13,1641.40,1642.01,1641.41,759.729
2023-03-01 02:28:00,1641.41,1639.93,1641.41,1640.64,1768.970
2023-03-01 02:29:00,1640.81,1640.51,1640.64,1640.69,686.049
2023-03-01 02:30:00,1641.80,1640.58,1640.69,1640.58,1576.909
2023-03-01 02:31:00,1640.58,1638.38,1640.58,1638.47,2498.413
2023-03-01 02:32:00,1639.19,1637.79,1638.46,1639.19,2131.519
2023-03-01 02:33:00,1639.27,1638.80,1639.19,1639.17,875.033
2023-03-01 02:34:00,1639.35,1638.63,1639.17,1639.34,1761.336
2023-03-01 02:35:00,1639.93,1639.34,1639.35,1639.58,870.118
2023-03-01 02:36:00,1639.92,1639.15,1639.59,1639.41,657.658
2023-03-01 02:37:00,1639.84,1639.29,1639.41,1639.80,355.808
2023-03-01 02:38:00,1640.25,1639.80,1639.80,1639.99,890.953
2023-03-01 02:39:00,1639.99,1639.09,1639.99,1639.60,802.609
2023-03-01 02:40:00,1640.85,1639.61,1639.61,1640.61,1355.837
2023-03-01 02:41:00,1640.96,1640.61,1640.61,1640.65,603.309
2023-03-01 02:42:00,1642.20,1640.64,1640.64,1641.61,2023.394
2023-03-01 02:43:00,1642.14,1641.34,1641.62,1641.68,1831.619
2023-03-01 02:44:00,1642.50,1641.39,1641.69,1641.81,1102.052
2023-03-01 02:45:00,1642.10,1641.42,1641.81,1641.71,884.106
2023-03-01 02:46:00,1642.98,1641.71,1641.71,1642.98,1113.857
2023-03-01 02:47:00,1643.21,1642.63,1642.98,1642.63,1385.581
2023-03-01 02:48:00,1642.64,1641.51,1642.63,1641.69,1708.089
2023-03-01 02:49:00,1641.69,1640.05,1641.69,1640.26,1645.832
2023-03-01 02:50:00,1641.07,1640.26,1640.26,1640.75,2129.179
2023-03-01 02:51:00,1641.03,1640.15,1640.76,1641.03,1423.999
2023-03-01 02:52:00,1641.73,1640.69,1641.03,1640.70,1174.520
2023-03-01 02:53:00,1641.16,1640.69,1640.69,1640.92,639.333
2023-03-01 02:54:00,1641.16,1640.93,1640.93,1641.15,408.918
2023-03-01 02:55:00,1641.34,1640.94,1641.15,1641.14,661.959
2023-03-01 02:56:00,1641.45,1641.09,1641.16,1641.36,582.309
2023-03-01 02:57:00,1641.51,1640.57,1641.36,1641.50,565.722
2023-03-01 02:58:00,1641.51,1641.18,1641.51,1641.45,737.324
2023-03-01 02:59:00,1641.45,1641.32,1641.45,1641.43,282.056
2023-03-01 03:00:00,1642.62,1641.42,1641.42,1642.00,3210.037
2023-03-01 03:01:00,1642.32,1641.73,1642.00,1641.74,595.176
